state,district_type,education_level,infrastructure_score,toilet_access,drinking_water_source,electricity_access,employment_type,health_index,poverty_status,housing_type,cooking_fuel_type,phone_access,transport_mode,internet_access
Chhattisgarh,Rural,Postgraduate,48.2,No,Well,1,Self-employed,0.02,1,Semi-Pucca,LPG,Basic Phone,Cycle,1
Chhattisgarh,Urban,Secondary,60.3,Shared,Public tap,1,Private job,0.52,0,Pucca,Biogas,None,Public Transport,1
West Bengal,Urban,Primary,53.6,Private,Well,1,Unemployed,0.47,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Tamil Nadu,Rural,No School,61.2,Private,Unprotected,1,Unemployed,0.27,1,Pucca,Firewood,Smartphone,Walk,1
Madhya Pradesh,Rural,Secondary,28.4,Private,Unprotected,1,Govt job,0.22,1,Semi-Pucca,Kerosene,None,Public Transport,1
Uttar Pradesh,Urban,Postgraduate,18.2,Private,Public tap,0,Informal,0.39,1,Pucca,Firewood,Basic Phone,Public Transport,1
Uttar Pradesh,Rural,Secondary,51.7,Private,Private tap,0,Private job,0.38,1,Semi-Pucca,Firewood,Smartphone,Private Vehicle,1
West Bengal,Rural,Secondary,25.4,Shared,Public tap,0,Informal,0.8,1,Kutcha,Kerosene,Smartphone,Cycle,1
Jharkhand,Urban,Primary,32.7,No,Private tap,1,Unemployed,0.18,1,Kutcha,Firewood,Basic Phone,Public Transport,1
West Bengal,Urban,Primary,68.6,Private,Public tap,1,Self-employed,0.2,1,Semi-Pucca,Firewood,Smartphone,Cycle,1
Maharashtra,Urban,Secondary,53.8,No,Well,0,Informal,0.16,1,Pucca,Kerosene,Smartphone,Walk,1
Madhya Pradesh,Urban,Postgraduate,38.6,Shared,Private tap,1,Informal,0.35,1,Kutcha,Firewood,Basic Phone,Walk,0
Odisha,Rural,Secondary,36.0,Private,Private tap,1,Private job,0.16,1,Semi-Pucca,Biogas,Smartphone,Public Transport,0
Chhattisgarh,Rural,Graduate,62.4,No,Well,1,Unemployed,0.42,1,Semi-Pucca,LPG,None,Cycle,1
West Bengal,Rural,Primary,54.2,No,Public tap,0,Self-employed,0.23,1,Semi-Pucca,Biogas,None,Public Transport,1
Uttar Pradesh,Urban,Secondary,25.7,Shared,Unprotected,1,Informal,0.52,1,Kutcha,LPG,Basic Phone,Private Vehicle,1
Jharkhand,Rural,Secondary,11.0,Private,Unprotected,1,Informal,0.45,1,Kutcha,LPG,Basic Phone,Walk,0
Chhattisgarh,Rural,Graduate,87.6,Shared,Public tap,1,Informal,0.09,1,Kutcha,LPG,Smartphone,Public Transport,1
Rajasthan,Rural,No School,25.6,Private,Well,1,Unemployed,0.19,1,Kutcha,Firewood,Smartphone,Public Transport,1
Gujarat,Rural,Primary,60.6,Shared,Unprotected,1,Unemployed,0.47,1,Kutcha,Firewood,Basic Phone,Private Vehicle,1
Bihar,Rural,Primary,80.2,Private,Well,1,Private job,0.32,1,Kutcha,LPG,Basic Phone,Private Vehicle,1
Uttar Pradesh,Urban,Postgraduate,53.0,Shared,Public tap,1,Self-employed,0.27,1,Kutcha,Kerosene,Smartphone,Walk,0
Rajasthan,Rural,Primary,38.0,Private,Well,0,Govt job,0.24,1,Semi-Pucca,Firewood,Basic Phone,Walk,0
Jharkhand,Rural,No School,21.5,Shared,Well,1,Unemployed,0.19,1,Pucca,Firewood,Basic Phone,Walk,1
Uttar Pradesh,Urban,Secondary,21.2,Private,Well,1,Unemployed,0.32,1,Pucca,Firewood,None,Walk,1
West Bengal,Urban,Secondary,57.5,Private,Unprotected,0,Self-employed,0.14,1,Kutcha,Firewood,None,Cycle,0
Uttar Pradesh,Urban,Graduate,79.0,Shared,Well,1,Govt job,0.09,1,Kutcha,LPG,Smartphone,Walk,1
Gujarat,Rural,Postgraduate,42.1,Shared,Private tap,1,Informal,0.14,1,Pucca,LPG,Basic Phone,Public Transport,1
Jharkhand,Urban,Secondary,38.9,Private,Well,1,Informal,0.42,1,Semi-Pucca,Firewood,None,Private Vehicle,1
Uttar Pradesh,Urban,Postgraduate,63.9,Private,Well,1,Informal,0.24,1,Pucca,Firewood,None,Private Vehicle,0
Madhya Pradesh,Rural,Graduate,36.3,Shared,Public tap,1,Unemployed,0.2,1,Semi-Pucca,Firewood,None,Cycle,0
Tamil Nadu,Rural,Primary,55.5,No,Well,0,Govt job,0.51,1,Pucca,Kerosene,Smartphone,Public Transport,0
Rajasthan,Urban,Postgraduate,50.8,No,Well,1,Informal,0.44,1,Semi-Pucca,Firewood,None,Private Vehicle,0
Odisha,Rural,Secondary,41.8,Shared,Unprotected,0,Informal,0.31,1,Semi-Pucca,LPG,Basic Phone,Private Vehicle,1
Tamil Nadu,Rural,Secondary,49.7,No,Private tap,0,Self-employed,0.05,1,Semi-Pucca,LPG,Basic Phone,Public Transport,0
Jharkhand,Rural,Secondary,85.3,Private,Public tap,1,Unemployed,0.3,1,Kutcha,Firewood,Basic Phone,Cycle,0
Chhattisgarh,Rural,Secondary,62.1,No,Private tap,1,Govt job,0.45,1,Pucca,LPG,Basic Phone,Public Transport,0
Maharashtra,Rural,Primary,71.9,Shared,Well,1,Private job,0.24,1,Kutcha,LPG,Smartphone,Public Transport,0
Madhya Pradesh,Rural,Graduate,31.6,Private,Unprotected,1,Unemployed,0.4,1,Semi-Pucca,Biogas,Smartphone,Cycle,0
Maharashtra,Urban,Graduate,71.9,Private,Private tap,0,Self-employed,0.24,1,Pucca,LPG,Smartphone,Cycle,1
Maharashtra,Rural,Graduate,62.8,Shared,Private tap,1,Informal,0.32,0,Semi-Pucca,LPG,Basic Phone,Public Transport,1
Rajasthan,Rural,Primary,20.0,No,Private tap,1,Unemployed,0.1,1,Kutcha,LPG,Smartphone,Private Vehicle,1
Jharkhand,Rural,Postgraduate,60.8,Shared,Private tap,1,Self-employed,0.57,0,Kutcha,Firewood,Smartphone,Walk,0
Rajasthan,Rural,No School,39.7,Shared,Private tap,1,Self-employed,0.53,1,Kutcha,LPG,None,Private Vehicle,1
Uttar Pradesh,Rural,Primary,19.1,Shared,Unprotected,0,Self-employed,0.31,1,Kutcha,LPG,Smartphone,Walk,1
Kerala,Urban,Primary,52.6,Shared,Well,1,Govt job,0.55,1,Kutcha,LPG,Basic Phone,Cycle,1
West Bengal,Urban,No School,60.8,No,Unprotected,1,Informal,0.35,1,Pucca,LPG,Smartphone,Walk,1
Tamil Nadu,Urban,Secondary,53.0,Private,Unprotected,1,Self-employed,0.35,0,Semi-Pucca,Firewood,Smartphone,Walk,0
Uttar Pradesh,Rural,Secondary,47.8,No,Unprotected,0,Govt job,0.39,1,Kutcha,LPG,None,Cycle,1
Bihar,Urban,Graduate,43.4,Shared,Unprotected,1,Unemployed,0.44,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Chhattisgarh,Rural,Postgraduate,99.3,Private,Well,0,Private job,0.12,1,Kutcha,Firewood,Smartphone,Private Vehicle,1
Bihar,Urban,Graduate,26.3,Private,Well,1,Informal,0.22,1,Semi-Pucca,Kerosene,Smartphone,Walk,0
Bihar,Rural,Secondary,67.5,Shared,Unprotected,1,Govt job,0.27,1,Semi-Pucca,Firewood,None,Public Transport,0
Madhya Pradesh,Urban,Graduate,50.3,No,Private tap,1,Govt job,0.31,1,Pucca,Firewood,Basic Phone,Public Transport,1
Odisha,Rural,Graduate,32.9,Private,Well,1,Self-employed,0.13,1,Pucca,Firewood,Basic Phone,Private Vehicle,0
Gujarat,Rural,Secondary,49.0,No,Well,1,Unemployed,0.16,1,Semi-Pucca,Biogas,Smartphone,Walk,1
Tamil Nadu,Rural,Graduate,22.1,Private,Unprotected,1,Informal,0.46,1,Semi-Pucca,LPG,Basic Phone,Cycle,1
Maharashtra,Rural,Secondary,38.1,Private,Private tap,1,Informal,0.21,1,Semi-Pucca,LPG,Smartphone,Walk,1
Kerala,Rural,Secondary,49.1,No,Private tap,0,Self-employed,0.24,1,Semi-Pucca,Biogas,Smartphone,Private Vehicle,0
Uttar Pradesh,Urban,Secondary,19.0,Private,Unprotected,1,Informal,0.45,1,Kutcha,LPG,Basic Phone,Public Transport,1
Gujarat,Urban,Secondary,60.1,Private,Unprotected,1,Self-employed,0.58,0,Semi-Pucca,Firewood,Basic Phone,Public Transport,0
Gujarat,Urban,Graduate,30.7,Private,Well,1,Informal,0.06,1,Semi-Pucca,Firewood,Basic Phone,Walk,1
Bihar,Rural,Secondary,21.0,Shared,Well,0,Unemployed,0.18,1,Semi-Pucca,Firewood,Basic Phone,Walk,1
Bihar,Urban,Secondary,28.4,Private,Public tap,0,Informal,0.25,1,Semi-Pucca,Firewood,Smartphone,Public Transport,0
Chhattisgarh,Urban,Postgraduate,93.5,Private,Public tap,1,Self-employed,0.42,0,Pucca,LPG,None,Public Transport,1
Kerala,Rural,Postgraduate,10.4,Private,Unprotected,1,Govt job,0.16,1,Semi-Pucca,LPG,Basic Phone,Walk,1
Kerala,Rural,Primary,58.7,Private,Public tap,1,Unemployed,0.1,1,Pucca,Firewood,None,Public Transport,1
Kerala,Rural,Primary,35.0,No,Private tap,1,Informal,0.0,1,Pucca,LPG,Basic Phone,Private Vehicle,1
Uttar Pradesh,Rural,Secondary,43.0,Shared,Private tap,1,Private job,0.32,0,Pucca,Firewood,Smartphone,Walk,1
Tamil Nadu,Rural,Secondary,62.1,No,Private tap,0,Informal,0.36,1,Pucca,Firewood,None,Private Vehicle,0
Tamil Nadu,Rural,No School,61.1,No,Well,1,Govt job,0.1,1,Pucca,Firewood,Basic Phone,Public Transport,1
Uttar Pradesh,Urban,Primary,36.4,No,Public tap,1,Self-employed,0.27,1,Kutcha,Biogas,Smartphone,Walk,1
Madhya Pradesh,Rural,Graduate,22.8,Shared,Public tap,1,Unemployed,0.19,1,Kutcha,Firewood,Smartphone,Private Vehicle,1
Uttar Pradesh,Rural,Graduate,62.4,No,Unprotected,1,Self-employed,0.39,1,Kutcha,Biogas,None,Public Transport,1
West Bengal,Urban,Secondary,61.0,Private,Well,0,Private job,0.52,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Jharkhand,Rural,Secondary,44.3,Private,Well,1,Private job,0.24,1,Semi-Pucca,LPG,Smartphone,Public Transport,0
Gujarat,Rural,Secondary,58.8,Private,Well,1,Self-employed,0.4,0,Pucca,LPG,None,Walk,1
West Bengal,Urban,Primary,41.1,Shared,Private tap,1,Self-employed,0.5,1,Semi-Pucca,Firewood,Smartphone,Public Transport,0
Madhya Pradesh,Rural,Secondary,33.5,Shared,Well,1,Informal,0.49,1,Pucca,LPG,Basic Phone,Public Transport,0
Gujarat,Urban,No School,50.1,Shared,Public tap,1,Informal,0.34,1,Pucca,Firewood,Smartphone,Cycle,1
Madhya Pradesh,Rural,Secondary,60.4,Private,Unprotected,1,Informal,0.34,0,Kutcha,Biogas,Smartphone,Public Transport,0
Gujarat,Rural,Primary,56.2,Private,Public tap,1,Private job,0.49,1,Kutcha,LPG,Smartphone,Public Transport,1
Uttar Pradesh,Rural,Secondary,60.2,No,Well,1,Informal,0.17,1,Pucca,Biogas,Basic Phone,Cycle,1
Uttar Pradesh,Urban,Secondary,34.8,Private,Unprotected,1,Informal,0.1,1,Kutcha,Biogas,Smartphone,Walk,1
Maharashtra,Urban,Secondary,81.6,Private,Private tap,0,Informal,0.22,1,Kutcha,Firewood,Basic Phone,Cycle,0
Gujarat,Urban,No School,43.2,Private,Unprotected,1,Informal,0.39,1,Kutcha,Biogas,Basic Phone,Cycle,1
Odisha,Urban,Primary,47.6,Shared,Well,1,Unemployed,0.53,1,Kutcha,Firewood,Basic Phone,Private Vehicle,1
Maharashtra,Rural,Secondary,23.6,Private,Well,1,Informal,0.16,1,Pucca,LPG,Basic Phone,Public Transport,1
Maharashtra,Rural,No School,46.1,Private,Unprotected,1,Informal,0.41,1,Semi-Pucca,LPG,Smartphone,Public Transport,0
Chhattisgarh,Rural,Primary,60.6,Shared,Well,1,Govt job,0.43,1,Kutcha,Firewood,Smartphone,Public Transport,0
West Bengal,Rural,Secondary,65.3,Shared,Well,0,Self-employed,0.23,1,Semi-Pucca,Firewood,None,Walk,1
Tamil Nadu,Rural,Graduate,81.2,No,Well,1,Informal,0.07,1,Kutcha,LPG,None,Public Transport,1
Maharashtra,Rural,Primary,60.4,No,Well,1,Self-employed,0.17,1,Kutcha,Firewood,None,Private Vehicle,1
Odisha,Rural,Secondary,55.5,No,Unprotected,1,Self-employed,0.09,1,Semi-Pucca,Firewood,Smartphone,Public Transport,1
Kerala,Urban,Postgraduate,41.1,Shared,Unprotected,1,Informal,0.17,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Rajasthan,Rural,Postgraduate,36.8,Shared,Public tap,1,Unemployed,0.1,1,Semi-Pucca,LPG,Basic Phone,Public Transport,1
Tamil Nadu,Rural,Primary,69.4,Shared,Private tap,1,Govt job,0.27,1,Pucca,LPG,Basic Phone,Public Transport,0
Gujarat,Rural,Graduate,69.0,Shared,Private tap,1,Self-employed,0.25,1,Pucca,LPG,Basic Phone,Cycle,1
Kerala,Rural,Secondary,28.5,Private,Public tap,1,Unemployed,0.54,1,Pucca,LPG,Basic Phone,Private Vehicle,1
Maharashtra,Rural,Postgraduate,64.5,Private,Unprotected,1,Informal,0.32,0,Semi-Pucca,LPG,Basic Phone,Private Vehicle,0
Odisha,Urban,Secondary,63.0,Shared,Public tap,1,Govt job,0.17,1,Kutcha,Kerosene,Basic Phone,Private Vehicle,1
Bihar,Urban,Graduate,27.7,Shared,Well,1,Self-employed,0.27,1,Pucca,LPG,Basic Phone,Private Vehicle,0
Odisha,Rural,Graduate,60.8,Private,Well,1,Private job,0.21,1,Kutcha,Firewood,None,Walk,0
Odisha,Rural,Secondary,29.0,Private,Private tap,1,Informal,0.12,1,Kutcha,Biogas,Smartphone,Public Transport,0
Odisha,Rural,Graduate,1.4,Shared,Unprotected,1,Unemployed,0.34,1,Pucca,LPG,Smartphone,Walk,0
Uttar Pradesh,Rural,Primary,46.8,Private,Private tap,0,Govt job,0.2,1,Pucca,LPG,Smartphone,Walk,1
West Bengal,Rural,Primary,55.2,Shared,Public tap,1,Informal,0.17,1,Kutcha,Firewood,Basic Phone,Public Transport,0
Odisha,Rural,Secondary,47.7,Private,Private tap,0,Informal,0.02,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Uttar Pradesh,Urban,Postgraduate,100.0,Private,Private tap,1,Unemployed,0.14,1,Semi-Pucca,Kerosene,Smartphone,Walk,1
Gujarat,Urban,Secondary,57.6,Shared,Well,1,Informal,0.59,0,Pucca,Firewood,Basic Phone,Public Transport,1
Kerala,Urban,Secondary,52.9,Private,Private tap,1,Govt job,0.11,1,Semi-Pucca,LPG,Basic Phone,Private Vehicle,1
Chhattisgarh,Rural,Secondary,58.6,Shared,Public tap,1,Self-employed,0.29,1,Pucca,LPG,Smartphone,Cycle,0
West Bengal,Rural,Primary,41.2,Private,Unprotected,1,Unemployed,0.68,1,Pucca,Firewood,Smartphone,Cycle,0
Maharashtra,Urban,Secondary,68.6,Shared,Private tap,0,Self-employed,0.34,1,Semi-Pucca,Firewood,Smartphone,Public Transport,1
Kerala,Urban,Graduate,57.2,Private,Unprotected,1,Self-employed,0.26,1,Pucca,Firewood,Basic Phone,Walk,1
Gujarat,Rural,Postgraduate,56.3,No,Public tap,1,Private job,0.42,1,Semi-Pucca,LPG,Basic Phone,Private Vehicle,0
Maharashtra,Rural,Primary,37.5,Private,Private tap,1,Private job,0.02,1,Semi-Pucca,Kerosene,Basic Phone,Public Transport,1
Madhya Pradesh,Rural,Secondary,18.7,Private,Unprotected,1,Unemployed,0.16,1,Semi-Pucca,LPG,None,Cycle,1
Tamil Nadu,Rural,No School,40.0,Shared,Well,0,Private job,0.11,1,Semi-Pucca,Firewood,None,Public Transport,1
Maharashtra,Urban,Primary,55.7,No,Well,1,Unemployed,0.53,1,Semi-Pucca,Firewood,Basic Phone,Cycle,1
Maharashtra,Rural,Secondary,41.1,Shared,Public tap,1,Unemployed,0.01,1,Semi-Pucca,LPG,None,Walk,0
Rajasthan,Urban,Secondary,55.8,Private,Private tap,1,Unemployed,0.18,1,Semi-Pucca,Biogas,None,Cycle,0
Madhya Pradesh,Rural,Primary,45.4,Private,Public tap,1,Unemployed,0.22,1,Kutcha,Biogas,Smartphone,Public Transport,0
Jharkhand,Rural,Primary,58.6,Shared,Unprotected,1,Govt job,0.2,1,Semi-Pucca,LPG,Basic Phone,Walk,0
Gujarat,Rural,Graduate,30.5,Private,Unprotected,1,Self-employed,0.52,1,Semi-Pucca,Firewood,Smartphone,Walk,0
Chhattisgarh,Rural,Postgraduate,53.9,Shared,Public tap,1,Self-employed,0.2,1,Kutcha,Firewood,None,Public Transport,0
Jharkhand,Rural,Primary,37.2,Shared,Unprotected,1,Private job,0.39,1,Pucca,LPG,Basic Phone,Public Transport,0
Bihar,Rural,Secondary,19.2,Shared,Public tap,0,Informal,0.56,1,Kutcha,Firewood,None,Walk,0
Bihar,Rural,Primary,46.7,Private,Public tap,1,Unemployed,0.28,1,Semi-Pucca,Firewood,Smartphone,Public Transport,1
Odisha,Rural,Postgraduate,80.7,Private,Well,1,Self-employed,0.31,0,Pucca,Biogas,None,Walk,0
Chhattisgarh,Urban,Secondary,20.8,Private,Unprotected,1,Private job,0.33,1,Semi-Pucca,Firewood,None,Cycle,1
Kerala,Rural,Graduate,52.4,No,Public tap,1,Private job,0.17,1,Kutcha,LPG,Smartphone,Walk,1
Maharashtra,Rural,No School,66.0,Private,Well,1,Informal,0.11,1,Kutcha,Firewood,Basic Phone,Public Transport,1
Madhya Pradesh,Rural,Secondary,96.0,No,Public tap,1,Govt job,0.42,1,Kutcha,Firewood,Smartphone,Public Transport,1
Chhattisgarh,Rural,Secondary,40.1,Shared,Unprotected,0,Govt job,0.34,1,Kutcha,LPG,Smartphone,Walk,0
Madhya Pradesh,Rural,Primary,37.4,No,Well,1,Unemployed,0.22,1,Kutcha,Firewood,Smartphone,Public Transport,1
Rajasthan,Rural,Primary,26.7,Shared,Unprotected,1,Self-employed,0.15,1,Semi-Pucca,Biogas,Smartphone,Public Transport,0
Kerala,Rural,Secondary,72.8,Private,Private tap,1,Unemployed,0.5,1,Kutcha,LPG,None,Walk,0
Jharkhand,Urban,Graduate,32.7,Shared,Private tap,1,Informal,0.03,1,Pucca,LPG,None,Public Transport,0
Madhya Pradesh,Urban,No School,42.6,Private,Private tap,1,Private job,0.15,1,Semi-Pucca,LPG,None,Cycle,1
Rajasthan,Rural,Secondary,13.0,Shared,Private tap,1,Govt job,0.36,1,Semi-Pucca,LPG,Smartphone,Walk,1
Chhattisgarh,Rural,Primary,67.7,Shared,Well,1,Self-employed,0.33,1,Semi-Pucca,LPG,Smartphone,Private Vehicle,0
Rajasthan,Rural,Primary,73.2,Shared,Unprotected,1,Govt job,0.18,1,Semi-Pucca,Kerosene,Smartphone,Public Transport,1
Tamil Nadu,Rural,Secondary,66.9,Shared,Public tap,0,Unemployed,0.03,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Rajasthan,Rural,Primary,17.9,Private,Public tap,0,Unemployed,0.12,1,Pucca,LPG,Basic Phone,Private Vehicle,1
Rajasthan,Rural,Secondary,62.1,Shared,Public tap,1,Informal,0.51,0,Pucca,LPG,None,Cycle,0
Odisha,Rural,Secondary,16.5,Private,Unprotected,0,Govt job,0.23,1,Semi-Pucca,Firewood,Basic Phone,Walk,0
Bihar,Rural,Secondary,51.2,Shared,Well,1,Private job,0.36,0,Pucca,Firewood,None,Private Vehicle,1
Jharkhand,Rural,Secondary,54.1,Shared,Unprotected,1,Self-employed,0.06,1,Semi-Pucca,LPG,Smartphone,Cycle,0
Tamil Nadu,Urban,Postgraduate,56.2,No,Private tap,0,Private job,0.31,1,Semi-Pucca,Firewood,None,Public Transport,1
Gujarat,Urban,Secondary,60.7,Private,Public tap,1,Govt job,0.15,1,Kutcha,Kerosene,Smartphone,Private Vehicle,1
Tamil Nadu,Rural,Graduate,49.8,No,Unprotected,1,Self-employed,0.05,1,Semi-Pucca,Kerosene,Smartphone,Cycle,0
Bihar,Rural,Primary,10.8,Private,Private tap,1,Self-employed,0.14,1,Pucca,Firewood,Smartphone,Private Vehicle,1
West Bengal,Urban,Secondary,60.7,Shared,Private tap,1,Govt job,0.43,0,Kutcha,LPG,Smartphone,Public Transport,1
Madhya Pradesh,Urban,Secondary,52.0,Shared,Well,1,Unemployed,0.31,1,Kutcha,LPG,Smartphone,Private Vehicle,1
Rajasthan,Rural,Primary,31.9,Private,Public tap,1,Unemployed,0.5,1,Pucca,Firewood,Smartphone,Walk,1
Chhattisgarh,Rural,Secondary,18.6,No,Unprotected,1,Informal,0.36,1,Semi-Pucca,Firewood,None,Public Transport,1
Rajasthan,Urban,Primary,80.8,No,Private tap,1,Private job,0.35,1,Kutcha,Firewood,Smartphone,Private Vehicle,1
Chhattisgarh,Urban,No School,74.6,Private,Private tap,1,Private job,0.13,1,Pucca,LPG,Basic Phone,Walk,1
Rajasthan,Rural,Primary,64.1,Shared,Public tap,1,Informal,0.34,1,Semi-Pucca,LPG,Basic Phone,Cycle,1
Tamil Nadu,Rural,Graduate,36.5,Private,Unprotected,1,Private job,0.34,1,Semi-Pucca,Firewood,Smartphone,Cycle,0
West Bengal,Urban,Graduate,0.0,No,Unprotected,1,Self-employed,0.31,1,Kutcha,Firewood,None,Private Vehicle,0
Bihar,Rural,Primary,65.3,No,Public tap,0,Informal,0.18,1,Semi-Pucca,Firewood,None,Cycle,1
Kerala,Rural,Secondary,57.3,Shared,Private tap,1,Govt job,0.21,1,Pucca,LPG,Basic Phone,Walk,1
Uttar Pradesh,Rural,No School,42.5,Private,Well,0,Self-employed,0.45,1,Pucca,Kerosene,None,Public Transport,1
Jharkhand,Rural,Primary,72.5,Private,Public tap,1,Informal,0.11,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Kerala,Rural,Graduate,67.0,Private,Private tap,1,Unemployed,0.36,1,Semi-Pucca,Kerosene,Basic Phone,Public Transport,1
Jharkhand,Rural,Secondary,53.5,Private,Well,1,Unemployed,0.68,1,Pucca,Kerosene,None,Public Transport,1
Madhya Pradesh,Rural,Primary,50.7,No,Public tap,1,Self-employed,0.3,1,Semi-Pucca,Biogas,Smartphone,Public Transport,1
Bihar,Urban,Primary,51.0,No,Public tap,0,Unemployed,0.42,1,Pucca,LPG,None,Public Transport,1
Chhattisgarh,Rural,Graduate,63.6,No,Private tap,1,Govt job,0.34,1,Kutcha,LPG,Basic Phone,Private Vehicle,0
Kerala,Rural,Primary,32.9,Private,Public tap,1,Self-employed,0.07,1,Semi-Pucca,Firewood,Basic Phone,Walk,1
Maharashtra,Rural,Primary,58.5,Private,Unprotected,1,Informal,0.35,1,Pucca,LPG,None,Private Vehicle,1
Maharashtra,Urban,Secondary,31.6,No,Unprotected,1,Govt job,0.19,1,Semi-Pucca,LPG,None,Cycle,0
Kerala,Rural,Secondary,76.7,No,Well,1,Private job,0.22,1,Pucca,Firewood,Smartphone,Walk,0
Jharkhand,Urban,Secondary,60.6,Private,Public tap,1,Informal,0.44,0,Semi-Pucca,LPG,None,Public Transport,1
Kerala,Rural,Graduate,36.2,Private,Unprotected,1,Self-employed,0.1,1,Semi-Pucca,Firewood,None,Private Vehicle,0
Chhattisgarh,Urban,Primary,51.6,Private,Private tap,0,Govt job,0.22,1,Pucca,Firewood,Smartphone,Cycle,1
Bihar,Rural,Graduate,32.9,Shared,Private tap,1,Unemployed,0.35,1,Kutcha,Firewood,None,Walk,0
Madhya Pradesh,Rural,Primary,80.1,Private,Private tap,0,Informal,0.28,1,Pucca,LPG,Basic Phone,Public Transport,0
Uttar Pradesh,Rural,Secondary,82.5,Private,Unprotected,1,Self-employed,0.22,1,Kutcha,Firewood,None,Private Vehicle,1
Bihar,Urban,Graduate,63.9,Shared,Public tap,1,Self-employed,0.17,1,Semi-Pucca,Biogas,Basic Phone,Cycle,0
Odisha,Rural,Secondary,81.1,Private,Public tap,0,Unemployed,0.14,1,Pucca,Firewood,Basic Phone,Walk,1
Madhya Pradesh,Rural,Graduate,53.0,Shared,Public tap,1,Informal,0.31,0,Kutcha,Firewood,Smartphone,Public Transport,1
Kerala,Rural,Graduate,65.3,Shared,Well,1,Self-employed,0.58,0,Kutcha,LPG,Basic Phone,Cycle,0
Chhattisgarh,Urban,Primary,74.5,Private,Public tap,1,Informal,0.26,1,Pucca,Kerosene,Smartphone,Walk,1
West Bengal,Urban,Graduate,49.9,Private,Unprotected,1,Govt job,0.33,0,Pucca,Firewood,Smartphone,Private Vehicle,1
Kerala,Rural,Postgraduate,51.4,Shared,Unprotected,1,Govt job,0.06,1,Pucca,Firewood,Smartphone,Public Transport,1
Tamil Nadu,Rural,Secondary,68.7,No,Public tap,0,Informal,0.0,1,Semi-Pucca,Firewood,Smartphone,Walk,0
Tamil Nadu,Urban,Primary,62.9,Private,Private tap,1,Informal,0.11,1,Pucca,LPG,None,Private Vehicle,1
Maharashtra,Rural,Primary,34.9,Shared,Well,1,Govt job,0.37,1,Pucca,LPG,Smartphone,Public Transport,1
West Bengal,Rural,Primary,6.3,No,Well,0,Self-employed,0.15,1,Semi-Pucca,Kerosene,Basic Phone,Public Transport,1
Uttar Pradesh,Urban,Primary,46.5,Shared,Unprotected,1,Private job,0.15,1,Pucca,Kerosene,Basic Phone,Public Transport,1
Tamil Nadu,Rural,Secondary,8.1,Private,Well,1,Informal,0.13,1,Kutcha,Firewood,Basic Phone,Private Vehicle,1
Uttar Pradesh,Rural,No School,30.2,No,Private tap,1,Self-employed,0.41,1,Semi-Pucca,LPG,Smartphone,Private Vehicle,1
Madhya Pradesh,Rural,Primary,32.5,Private,Public tap,0,Unemployed,0.32,1,Semi-Pucca,Biogas,Smartphone,Walk,1
West Bengal,Rural,Secondary,38.6,No,Well,0,Govt job,0.4,1,Semi-Pucca,LPG,Basic Phone,Walk,1
Uttar Pradesh,Rural,Secondary,66.4,Private,Well,0,Informal,0.66,1,Kutcha,Kerosene,None,Public Transport,0
Odisha,Urban,Secondary,70.8,Private,Unprotected,1,Govt job,0.27,1,Semi-Pucca,Biogas,Basic Phone,Cycle,1
Uttar Pradesh,Urban,Graduate,60.2,Private,Private tap,1,Informal,0.47,0,Kutcha,LPG,Basic Phone,Public Transport,1
Gujarat,Urban,No School,62.7,Shared,Unprotected,1,Unemployed,0.4,1,Semi-Pucca,LPG,Basic Phone,Cycle,1
Rajasthan,Rural,No School,63.1,Shared,Unprotected,1,Informal,0.4,1,Semi-Pucca,LPG,Basic Phone,Private Vehicle,0
Maharashtra,Rural,No School,0.1,Private,Well,1,Unemployed,0.28,1,Semi-Pucca,LPG,Smartphone,Walk,1
Maharashtra,Rural,Secondary,50.2,Private,Unprotected,1,Informal,0.83,0,Pucca,LPG,Basic Phone,Walk,0
Madhya Pradesh,Urban,No School,14.1,No,Unprotected,1,Informal,0.47,1,Kutcha,Firewood,Basic Phone,Cycle,1
Odisha,Rural,Graduate,60.2,Shared,Well,1,Informal,0.42,0,Pucca,Firewood,Basic Phone,Walk,1
West Bengal,Rural,Primary,8.1,Shared,Well,1,Unemployed,0.23,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Jharkhand,Rural,Postgraduate,46.4,Shared,Well,1,Govt job,0.3,0,Kutcha,Firewood,Smartphone,Public Transport,1
Kerala,Rural,Secondary,61.0,Shared,Public tap,1,Govt job,0.54,0,Kutcha,Firewood,Basic Phone,Public Transport,1
Chhattisgarh,Rural,Secondary,27.6,Private,Private tap,0,Informal,0.35,1,Pucca,Firewood,Smartphone,Walk,1
Tamil Nadu,Rural,Graduate,69.2,Shared,Public tap,1,Informal,0.37,0,Pucca,Firewood,Basic Phone,Public Transport,0
Rajasthan,Urban,Graduate,60.1,Shared,Well,1,Informal,0.29,1,Kutcha,LPG,None,Cycle,0
